sequence_number,total_time_millis,step_time_millis,voltage,current,power,step_amp_hours,step_charged_amp_hours,step_discharged_amp_hours,step_watt_hours,step_charged_watt_hours,step_discharged_watt_hours,total_cycle,step_number,step_type,step_id,cycler_type,observed_at
262,1283593,25029,0.6646513,0.2000024,0.13293185516311998,0.001389040000000001,0.0013887599999999993,2.800000000018066e-7,0.0008270899999999991,0.0008269399999999982,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:35:45.383800000
263,1288600,30036,0.6920647,0.2000025,0.13841467016175,0.001660650000000003,0.0016603700000000013,2.800000000018066e-7,0.0010113100000000014,0.0010111600000000005,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:35:50.390900000
264,1293609,35044,0.7193322,0.2000026,0.14386831026372,0.0019471800000000032,0.0019469000000000014,2.800000000018066e-7,0.001213490000000001,0.0012133400000000003,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:35:55.399700000
265,1298617,40052,0.7464528,0.2000024,0.14929235148672002,0.0022250000000000013,0.0022247199999999995,2.800000000018066e-7,0.0014171700000000023,0.0014170200000000015,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:00.407500000
266,1303627,45063,0.7736134,0.2000036,0.15472546500824,0.0025034400000000026,0.002503160000000001,2.800000000018066e-7,0.0016288799999999992,0.0016287299999999984,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:05.417800000
267,1308637,50072,0.8006234,0.1999961,0.16012155756874,0.0027750300000000012,0.0027747499999999994,2.800000000018066e-7,0.0018426300000000014,0.0018424800000000005,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:10.427500000
268,1313646,55082,0.8276162,0.2000028,0.16552555732536,0.0030562300000000035,0.0030559500000000017,2.800000000018066e-7,0.002071510000000002,0.0020713600000000013,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:15.437200000
269,1318657,60093,0.8545031,0.2000022,0.17090249990682,0.0033359500000000007,0.003335669999999999,2.800000000018066e-7,0.0023067499999999998,0.002306599999999999,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:20.448300000
270,1323666,65102,0.8813595,0.2000034,0.1762748966223,0.0036097400000000036,0.003609460000000002,2.800000000018066e-7,0.002544339999999999,0.0025441899999999983,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:25.457100000
271,1328674,70109,0.908153,0.2000029,0.18163323364370002,0.0038928400000000016,0.0038925599999999998,2.800000000018066e-7,0.0027976000000000008,0.00279745,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:30.464400000
272,1333684,75120,0.9349274,0.2000029,0.18698819128946,0.004168500000000002,0.00416822,2.800000000018066e-7,0.0030516200000000014,0.0030514700000000006,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:35.474700000
