File Format Type:	ArbinCsvFormat1
Header Lines:	14
Serial Number:	217719-B
Cycler Name:	
Channel Id:	1
Test Name: 	AB-CC_High_0.2A+TestObject_cc210421121129
Test ID: 	1
Schedule Name: 	AB-CC_High_0.2A+TestObject_cc.sdx
Timezone: 	GMT -6:00
Data Type Flag:	 {"1":"IVBasicData","2":"IVExtendData","3":"AuxData","4":"CANBMSData","5":"SMBData","6":"EISData","7":"SMBString"}
Aux Definition:	
Data Field:
"Byte Index"	"Line Number"	"Data Type Flag"	"Data Point"	"Test Time"	"Step Time"	"Cycle Index"	"Step Index"	"Current"	"Voltage"	"Charge Capacity"	"Discharge Capacity"	"Charge Energy"	"Discharge Energy"	"Data Flags"	"Data Time"	"Other Information"
 	 	 	 	"s"	"s"	 	 	"A"	"V"	Ah	Ah	Wh	Wh	 	"DateTime"	"JSON"
20053	153	2	36	1.75088500976562e02	1.65000190734863e02	1	2							0	16190254368788000	{"PV_dVdt":-0.004880907945334911}
20173	154	2	36	1.75088500976562e02	1.65000190734863e02	1	2							0	16190254368788000	{"PV_dVdQ":86.20087432861328}
20289	155	2	36	1.75088500976562e02	1.65000190734863e02	1	2							0	16190254368788000	{"PV_dQdV":0.011932477355003357}
20408	156	1	37	1.80089092254638e02	1.70000801086425e02	1	2	-1.999986e-01	 3.109259e-01	 0.000000e000	 9.441699e-03	 0.000000e000	 6.940861e-03	0	16190254418794000	{}
20575	157	2	37	1.80089092254638e02	1.70000801086425e02	1	2							0	16190254418794000	{"PV_dVdt":-0.004773139022290707}
20695	158	2	37	1.80089092254638e02	1.70000801086425e02	1	2							0	16190254418794000	{"PV_dVdQ":84.6456298828125}
20810	159	2	37	1.80089092254638e02	1.70000801086425e02	1	2							0	16190254418794000	{"PV_dQdV":0.012278588488698006}
20929	160	1	38	1.85090198516845e02	1.75001907348632e02	1	2	-1.999997e-01	 2.871794e-01	 0.000000e000	 9.720820e-03	 0.000000e000	 7.024330e-03	0	16190254468805000	{}
21096	161	2	38	1.85090198516845e02	1.75001907348632e02	1	2							0	16190254468805000	{"PV_dVdt":-0.004743503872305155}
21216	162	2	38	1.85090198516845e02	1.75001907348632e02	1	2							0	16190254468805000	{"PV_dVdQ":81.88475036621094}
21332	163	2	38	1.85090198516845e02	1.75001907348632e02	1	2							0	16190254468805000	{"PV_dQdV":0.01130038220435381}
21450	164	1	39	1.90089092254638e02	1.80000801086425e02	1	2	-1.999989e-01	 2.635316e-01	 0.000000e000	 9.997707e-03	 0.000000e000	 7.100566e-03	0	16190254518794000	{}
21617	165	2	39	1.90089092254638e02	1.80000801086425e02	1	2							0	16190254518794000	{"PV_dVdt":-0.004640787374228239}
21737	166	2	39	1.90089092254638e02	1.80000801086425e02	1	2							0	16190254518794000	{"PV_dVdQ":85.06503295898438}
21853	167	2	39	1.90089092254638e02	1.80000801086425e02	1	2							0	16190254518794000	{"PV_dQdV":0.013722498901188374}
21972	168	1	40	1.92968101501464e02	1.82879810333251e02	1	2	-1.999999e-01	 2.499876e-01	 0.000000e000	 1.015973e-02	 0.000000e000	 7.142161e-03	2	16190254547584000	{}
22139	169	2	40	1.92968101501464e02	1.82879810333251e02	1	2							2	16190254547584000	{"PV_dVdt":-0.004721366800367832}
22259	170	2	40	1.92968101501464e02	1.82879810333251e02	1	2							2	16190254547584000	{"PV_dVdQ":83.83053588867188}
22375	171	2	40	1.92968101501464e02	1.82879810333251e02	1	2							2	16190254547584000	{"PV_dQdV":0.012411884032189846}
22494	172	2	40	1.92968101501464e02	1.82879810333251e02	1	2							2	16190254547584000	{"PV_InternalResistance":0.0}
22610	173	1	41	1.95042495727539e02	2.04959988594055e00	1	3	 2.000117e-01	 2.577815e-01	 0.000000e000	 1.015980e-02	 0.000000e000	 7.142179e-03	1703939	16190254568328000	{}
22783	174	2	41	1.95042495727539e02	2.04959988594055e00	1	3							1703939	16190254568328000	{"PV_dVdt":0.05810653790831566}
22907	175	2	41	1.95042495727539e02	2.04959988594055e00	1	3							1703939	16190254568328000	{"PV_dVdQ":0.0}
23015	176	2	41	1.95042495727539e02	2.04959988594055e00	1	3							1703939	16190254568328000	{"PV_dQdV":0.0}
23123	177	2	41	1.95042495727539e02	2.04959988594055e00	1	3							1703939	16190254568328000	{"PV_InternalResistance":0.016613654792308809}
23262	178	1	42	2.00069308280944e02	5.00209999084472e00	1	4	 2.000022e-01	 2.875418e-01	 2.772144e-04	 1.015980e-02	 7.571558e-05	 7.142179e-03	1	16190254618596000	{}
23429	179	2	42	2.00069308280944e02	5.00209999084472e00	1	4							1	16190254618596000	{"PV_dVdt":0.005836347583681345}
23548	180	2	42	2.00069308280944e02	5.00209999084472e00	1	4							1	16190254618596000	{"PV_dVdQ":112.0026626586914}
23664	181	2	42	2.00069308280944e02	5.00209999084472e00	1	4							1	16190254618596000	{"PV_dQdV":0.009539893828332425}
